Country,Population,Area,Density,Prices,Rank,
Sudan,43849260,1765048,25,67.426,153,
Suriname,586632,156000,4,93.652,92,
swazilan,1160000,17364,67,92.865,96,
Sweden,10099265,410340,25,142.433,22,
Switzerland,8654622,39516,219,197.397,2,
taiwan,23570000,36197,673,124.157,40,
Tajikistan,9537645,139960,68,73.549,142,
Tanzania,59734218,885800,67,66.19,158,
Thailand,69799978,510890,137,79.409,127,
Togo,8278724,54390,152,105.906,70,
Trinidad and Tobago,1399488,5130,273,134.92,30,
Tunisia,11818619,155360,76,61.571,162,
Turkey,84339067,769630,110,96.185,88,
United Arab Emirates,9890402,83600,118,128.869,34,
Uganda,45741007,199810,229,70.729,145,
United Kingdom,67886011,241930,281,106.357,69,
Ukraine,43733762,579320,75,55.473,165,
Uruguay,3473730,175020,20,145.595,19,
United States of America,331002651,9147420,36,123.827,41,
Vietnam,97338579,310070,314,73.294,143,
Zambia,18383955,743390,25,86.645,112,
Zimbabwe,14862924,386850,38,101.714,76,
